Location,1 Energy (Mt),2 Industrial Processes (Mt),3 Agriculture (Mt),"4 Land Use, Land-Use Change and Forestry UNFCCC (Mt)",5 Waste (Mt),7 Other (Mt),Year,Total (MT)
QLD,101.2262,5.4745,23.599,57.4263,3.2149,Not available,2008,190.9409
SA,24.7687,3.0392,5.3309,-0.2748,0.9818,Not available,2008,33.8458
TAS,4.2625,1.591,2.2107,3.3686,0.4129,Not available,2008,11.8457
VIC,103.9968,2.9564,15.1579,1.0025,3.9697,Not available,2008,127.0833
WA,52.9008,4.7382,9.6017,14.5697,1.6881,Not available,2008,83.4985
ACT,0.9793,0.0845,0.038,0.0599,0.2011,Not available,2007,1.3628
EXTERNAL TERRITORIES (ET),0.0106,0.0009,Not available,-0.0002,0.0039,Not available,2007,0.0152
NSW,126.3574,14.6811,20.4608,-8.257,5.4654,Not available,2007,158.7077
NT,5.8492,0.0855,3.6113,9.7755,0.1076,Not available,2007,19.4291
QLD,99.8713,5.025,23.4353,62.1485,3.058,Not available,2007,193.5381
SA,24.3772,3.1293,5.7748,-1.1724,0.8864,Not available,2007,32.9953
TAS,3.9849,1.5199,2.3941,1.1292,0.4058,Not available,2007,9.4339
VIC,103.0455,2.8509,15.9888,0.5115,4.0351,Not available,2007,126.4318
WA,51.9093,5.2762,10.4051,18.8055,1.6883,Not available,2007,88.0844
ACT,0.9601,0.0734,0.0412,0.2281,0.2065,Not available,2006,1.5093
EXTERNAL TERRITORIES (ET),0.0098,0.0009,Not available,-0.0003,0.0038,Not available,2006,0.0142
NSW,122.1802,14.0945,22.6368,-0.6553,5.4477,Not available,2006,163.7039
NT,5.4285,0.0779,3.4257,9.384,0.0997,Not available,2006,18.4158
QLD,97.5827,4.6973,23.3731,80.0995,2.7303,Not available,2006,208.4829
SA,23.3706,2.9245,5.9927,1.4489,0.8668,Not available,2006,34.6035
